title,company,location,category,job_type,deadline,salary,url,salary_disclosed,days_until_deadline,job_type_encoded,location_encoded,category_encoded,deadline_status
Videography & Editor,Best Code,Duhok,Marketing,Full time,2026-05-12,Not disclosed,https://jobs.krd/explore-jobs/Videography-&-Editor-3066,0,-5,1,0,15,0
Senior Graphic Designer,Shahan Al-Alamiya,Sulaymaniyah,Unknown,Full time,2026-05-12,"{'id': 1, 'name': 'IQD'} 0.00–0.00 / Monthly",https://jobs.krd/explore-jobs/Senior-Graphic-Designer-3065,1,-5,1,5,28,0
Cashier (Female),Al-Jazeera Dairy,Erbil,Sales,Part time,2026-05-11,Not disclosed,https://jobs.krd/explore-jobs/Cashier-3064,0,-6,2,1,21,0
Carwash Supervisor,JOBS.KRD Client 5,Erbil,Unknown,Full time,2026-05-10,Not disclosed,https://jobs.krd/explore-jobs/carwash-supervisor-3063,0,-7,1,1,28,0
Accountant,Asia International Hospital,Sulaymaniyah,Finance,Full time,2026-05-10,Not disclosed,https://jobs.krd/explore-jobs/Accountant-3061,0,-7,1,5,9,0
Videographer,Digital Vision,Erbil,Marketing,Full time,2026-05-10,Not disclosed,https://jobs.krd/explore-jobs/Videographer-3060,0,-7,1,1,15,0
Hatchery Manager,Vano Group,Erbil,Facilities Management,Full time,2026-05-10,Not disclosed,https://jobs.krd/explore-jobs/Hatchery-Manager-–-Grandparent-Hatchery-3059,0,-7,1,1,8,0
Recreation Supervisor,DDK Collection Hotel,Duhok,Operations/Production,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Recreation-Supervisor-3055,0,-11,1,0,17,0
Outlet Manager – DDK Lounge & Terrace,DDK Collection Hotel,Duhok,Facilities Management,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Outlet-Manager-–-DDK-Lounge-&-Terrace-3054,0,-11,1,0,8,0
Library and Coffeehouse Outlet Supervisor,DDK Collection Hotel,Duhok,Operations/Production,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Library-and-Coffeehouse-Outlet-Supervisor-3053,0,-11,1,0,17,0
Burger Outlet Supervisor,DDK Collection Hotel,Duhok,Operations/Production,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Burger-Outlet-Supervisor-3052,0,-11,1,0,17,0
Senior Web Developer (Laravel),Optimal,Erbil,Information Technology (IT),Full time,2026-05-10,"{'id': 1, 'name': 'IQD'} 0.00–0.00 / Monthly",https://jobs.krd/explore-jobs/senior-Web-Developer-(Laravel)-3051,1,-7,1,1,13,0
English & Arabic Instructor,Dream Academy,Erbil,Education,Full time,2026-05-05,Not disclosed,https://jobs.krd/explore-jobs/English-&-Arabic-Instructor-3050,0,-12,1,1,5,0
Receptionist,Nivin Group,Duhok,Operations/Production,Full time,2026-05-05,Not disclosed,https://jobs.krd/explore-jobs/Receptionist-3049,0,-12,1,0,17,0
Lighting Assistant,Nivin Group,Duhok,Marketing,Full time,2026-05-05,Not disclosed,https://jobs.krd/explore-jobs/Lighting-Assistant-3048,0,-12,1,0,15,0
Cameraman ( Photographer),Nivin Group,Duhok,Marketing,Full time,2026-05-05,Not disclosed,https://jobs.krd/explore-jobs/Cameraman-(-Photographer)-3047,0,-12,1,0,15,0
Visual Content Creator,NS Marketing Company,Duhok,Marketing,Full time,2026-05-05,Not disclosed,https://jobs.krd/explore-jobs/Visual-Content-Creator-3045,0,-12,1,0,15,0
Videographer,B Cars,Duhok,Marketing,Contract,2026-05-05,Not disclosed,https://jobs.krd/explore-jobs/Videographer-3044,0,-12,0,0,15,0
Office Chef,MY LIMITED,Erbil,Operations/Production,Full time,2026-05-05,Not disclosed,https://jobs.krd/explore-jobs/Office-Chef-3043,0,-12,1,1,17,0
Service Advisor,Harlem Group For Commercial Agencies,Duhok,Unknown,Full time,2026-05-05,Not disclosed,https://jobs.krd/explore-jobs/Service-Advisor-3046,0,-12,1,0,28,0
Graphic Designer,Bestun Company,Sulaymaniyah,Marketing,Full time,2026-05-04,Not disclosed,https://jobs.krd/explore-jobs/Graphic-Designer-3042,0,-13,1,5,15,0
Direct Marketing Officer,Bestun Company,Sulaymaniyah,Marketing,Full time,2026-05-04,Not disclosed,https://jobs.krd/explore-jobs/Direct-Marketing-Officer-3041,0,-13,1,5,15,0
Office Based Engineer,Smart Lift Company,Erbil,Engineering,Full time,2026-05-03,Not disclosed,https://jobs.krd/explore-jobs/Office-Based-Engineer-3038,0,-14,1,1,6,0
Sales Representative,Shoof Company,Erbil,Marketing,Full time,2026-05-03,Not disclosed,https://jobs.krd/explore-jobs/Sales-Representative-3039,0,-14,1,1,15,0
Office Employee (Female),Rento Car Rental,Erbil,Administration/Operations,Full time,2026-05-03,Not disclosed,https://jobs.krd/explore-jobs/Office-Employee-(Female)-3040,0,-14,1,1,0,0
Video Editor,Habika Company,Sulaymaniyah,Marketing,Full time,2026-05-03,Not disclosed,https://jobs.krd/explore-jobs/Video-Editor-3037,0,-14,1,5,15,0
Graphic Designer,Habika Company,Sulaymaniyah,Marketing,Full time,2026-05-03,Not disclosed,https://jobs.krd/explore-jobs/Graphic-Designer-3036,0,-14,1,5,15,0
Sales Engineer,Sunpulse,Erbil,Unknown,Full time,2026-05-03,Not disclosed,https://jobs.krd/explore-jobs/Sales-Engineer-3035,0,-14,1,1,28,0
Marketing Supervisor,Shoof Company,Erbil,Marketing,Full time,2026-04-30,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Supervisor-3034,0,-17,1,1,15,0
Sales Representative – Phone Shop,ND Phone,Duhok,Sales,Full time,2026-04-29,Not disclosed,https://jobs.krd/explore-jobs/Sales-Representative-–-Phone-Shop-3033,0,-18,1,0,21,0
Operations Assistant -Data Entry,Arizanti Company,Erbil,Unknown,Full time,2026-05-10,Not disclosed,https://jobs.krd/explore-jobs/Operations-Assistant--Data-Entry-3023,0,-7,1,1,28,0
Trade Marketing Officer,Shahan Al-Alamiya,Sulaymaniyah,Marketing,Full time,2026-04-29,Not disclosed,https://jobs.krd/explore-jobs/Trade-Marketing-Officer-3032,0,-18,1,5,15,0
Pilates Instructor / Trainer,Sole Studios,Erbil,Facilities Management,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Pilates-Instructor-/-Trainer-3029,0,-11,1,1,8,0
Cycling / Yoga / Dance Trainer,Sole Studios,Erbil,Facilities Management,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Cycling-/-Yoga-/-Dance-Trainer-3028,0,-11,1,1,8,0
Marketing Coordinator,Sole Studios,Erbil,Marketing,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Coordinator-3027,0,-11,1,1,15,0
Studio Manager,Sole Studios,Erbil,Project Management,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Studio-Manager-3026,0,-11,1,1,18,0
Barista,Sole Studios,Erbil,Operations/Production,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Barista-3025,0,-11,1,1,17,0
Receptionist,Sole Studios,Erbil,Customer Service/Support,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Receptionist-3024,0,-11,1,1,3,0
French Teacher,JOBS.KRD Client 13,Erbil,Education,Full time,2026-04-29,Not disclosed,https://jobs.krd/explore-jobs/Teaching-3030,0,-18,1,1,5,0
Accountant (Female),Packink,Erbil,Finance,Full time,2026-04-27,Not disclosed,https://jobs.krd/explore-jobs/Accountant-3022,0,-20,1,1,9,0
Production Supervisor,Packink,Erbil,Operations/Production,Full time,2026-04-27,Not disclosed,https://jobs.krd/explore-jobs/Production-Supervisor-3021,0,-20,1,1,17,0
Radiology Technician,Medya Diagnostic Center,Erbil,Medicine,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Radiology-Technician-3018,0,-11,1,1,16,0
Head of Legal,Harko Legal,Erbil,Legal,Full time,2026-04-23,Not disclosed,https://jobs.krd/explore-jobs/Head-of-legal-3017,0,-24,1,1,14,0
CDP- Staff Canteen,DDK Collection Hotel,Duhok,Operations/Production,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/CDP--Staff-Canteen-3016,0,-11,1,0,17,0
Commis Chef - International Cuisine,DDK Collection Hotel,Duhok,Operations/Production,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Commis-Chef---International-Cuisine-3015,0,-11,1,0,17,0
DCDP Chef - International Cuisine,DDK Collection Hotel,Duhok,Operations/Production,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/DCDP-Chef---International-Cuisine-3013,0,-11,1,0,17,0
International Procurement Specialist,Shahan Company,Duhok,Operations/Production,Full time,2026-04-23,Not disclosed,https://jobs.krd/explore-jobs/International-Procurement-Specialist-3012,0,-24,1,0,17,0
Assistant Maintenance Technician,Erbil Pioneer For Oilfield Equipment Supply Ltd.,Erbil,Unknown,Full time,2026-04-23,Not disclosed,https://jobs.krd/explore-jobs/Assistant-Maintenance-Technician-3014,0,-24,1,1,28,0
Academic Director,Abi Academy,Duhok,Education,Full time,2026-04-22,Not disclosed,https://jobs.krd/explore-jobs/Academic-Director-3010,0,-25,1,0,5,0
Senior Marketing Manager,Kurdistan Foundation,Erbil,Marketing,Full time,2026-04-20,Not disclosed,https://jobs.krd/explore-jobs/Senior-Marketing-Manager-3009,0,-27,1,1,15,0
HR Recruiter,Shoof Company,Erbil,Human Resources,Full time,2026-04-20,Not disclosed,https://jobs.krd/explore-jobs/HR-Recruiter-3005,0,-27,1,1,12,0
Sales Engineer,Sunpulse,Erbil,Sales,Full time,2026-05-30,Not disclosed,https://jobs.krd/explore-jobs/Sales-Engineer-3008,0,13,1,1,21,1
Purchaser,ALSALT Hospitality,Erbil,Operations/Production,Full time,2026-04-20,Not disclosed,https://jobs.krd/explore-jobs/Purchaser-3007,0,-27,1,1,17,0
Digital Marketing,Blnd Ads,Erbil,Marketing,Full time,2026-04-20,Not disclosed,https://jobs.krd/explore-jobs/blnd-ads-3006,0,-27,1,1,15,0
Graphic Designer,Poleks - Keep,Erbil,Marketing,Full time,2026-04-24,"{'id': 1, 'name': 'IQD'} 1200000.00–1400000.00 / Monthly",https://jobs.krd/explore-jobs/Graphic-Designer-3004,1,-23,1,1,15,0
Primary Grade Teacher,JOBS.KRD Client 13,Erbil,Education,Full time,2026-04-19,"{'id': 1, 'name': 'IQD'} 400000.00–1500000.00 / Monthly",https://jobs.krd/explore-jobs/Teaching-2999,1,-28,1,1,5,0
Showroom Salesperson,Arizanti Company,Erbil,Sales,Full time,2026-04-19,Not disclosed,https://jobs.krd/explore-jobs/Showroom-Salesperson-3002,0,-28,1,1,21,0
Customer Service Associate,Youth Hub,Erbil,Customer Service/Support,Full time,2026-04-19,Not disclosed,https://jobs.krd/explore-jobs/Customer-Service-Associate-3003,0,-28,1,1,3,0
Sales Representative,VATREN,Erbil,Sales,Full time,2026-04-19,Not disclosed,https://jobs.krd/explore-jobs/Sales-Representative-3001,0,-28,1,1,21,0
Interior Designer,VATREN,Erbil,Engineering Interior Design,Full time,2026-04-19,Not disclosed,https://jobs.krd/explore-jobs/Interior-Designer-3000,0,-28,1,1,7,0
Sales Representative (Furniture Showroom),Fya Home,Erbil,Sales,Full time,2026-04-19,Not disclosed,https://jobs.krd/explore-jobs/Sales-Representative-(Furniture-Showroom)-2998,0,-28,1,1,21,0
Senior Sales Representative,Arizanti Company,Erbil,Sales,Full time,2026-04-19,Not disclosed,https://jobs.krd/explore-jobs/Senior-Sales-Representative-2997,0,-28,1,1,21,0
Senior Accountant,Bahar Holding,Erbil,Finance,Full time,2026-04-19,Not disclosed,https://jobs.krd/explore-jobs/Senior-Accountant-2996,0,-28,1,1,9,0
Print Production & Sourcing Specialist,Shahan Company,Duhok,Operations/Production,Full time,2026-04-16,Not disclosed,https://jobs.krd/explore-jobs/Print-Production-&-Sourcing-Specialist-2995,0,-31,1,0,17,0
Graphic Designer,Shahan Company,Duhok,Marketing,Full time,2026-04-16,Not disclosed,https://jobs.krd/explore-jobs/Graphic-Designer-2994,0,-31,1,0,15,0
Sales Representative (Dentistry Background),Crown Dent,Erbil,Sales,Full time,2026-04-15,Not disclosed,https://jobs.krd/explore-jobs/Sales-Representative-2993,0,-32,1,1,21,0
Accounts Officer,NRCO General Trading,Erbil,Finance,Full time,2026-04-14,Not disclosed,https://jobs.krd/explore-jobs/Accounts-Officer-2992,0,-33,1,1,9,0
Interior Designer,JOBS.KRD Client 34,Duhok,Engineering,Full time,2026-04-14,Not disclosed,https://jobs.krd/explore-jobs/Interior-Designer-2991,0,-33,1,0,6,0
Electrical Engineer,LAD Company,Sulaymaniyah,Engineering,Full time,2026-04-14,Not disclosed,https://jobs.krd/explore-jobs/Electrical-Engineer-2990,0,-33,1,5,6,0
Interior Designer,Ekhlas Company,Erbil,Unknown,Full time,2026-04-12,Not disclosed,https://jobs.krd/explore-jobs/Interior-Designer-2988,0,-35,1,1,28,0
Mobile Application Developer,Easy Technology,Duhok,Information Technology (IT),Full time,2026-04-12,Not disclosed,https://jobs.krd/explore-jobs/Mobile-Application-Developer-2989,0,-35,1,0,13,0
Call Center Agent,Easy Technology,Duhok,Customer Service/Support,Full time,2026-04-12,Not disclosed,https://jobs.krd/explore-jobs/Call-Center-Agent-2987,0,-35,1,0,3,0
Graphic Designer,BGT Company,Erbil,Unknown,Full time,2026-05-02,Not disclosed,https://jobs.krd/explore-jobs/graphic-designer-2986,0,-15,1,1,28,0
Writer,Tara Stationary,Duhok,Education,Full time,2026-04-09,Not disclosed,https://jobs.krd/explore-jobs/Writer-2985,0,-38,1,0,5,0
Community Manager,Damazrandn,Erbil,Customer Service/Support,Full time,2026-04-09,2000000.00–2300000.00 / Monthly,https://jobs.krd/explore-jobs/Community-Manager-2984,1,-38,1,1,3,0
Content Creator (Video & Photography),Digital Content Creators,Erbil,Marketing,Full time,2026-04-09,Not disclosed,https://jobs.krd/explore-jobs/Videographer-/-Photographer-/-Editor-2983,0,-38,1,1,15,0
Social Media Face Model (Female),Family Mall Erbil,Erbil,Marketing,Part time,2026-04-09,Not disclosed,https://jobs.krd/explore-jobs/Social-Media-Face-Model-2982,0,-38,2,1,15,0
Electrical Technician,JOBS.KRD Client 33,Sulaymaniyah,Operations/Production,Full time,2026-04-08,Not disclosed,https://jobs.krd/explore-jobs/Electrical-Technician-2981,0,-39,1,5,17,0
Team Building Trainer (Consultancy),Sparda Organization,Sulaymaniyah,Training and Development,Contract,2026-04-08,Not disclosed,https://jobs.krd/explore-jobs/Team-Building-Trainer-(Consultancy)-2980,0,-39,0,5,26,0
Sales Specialist,Advira Advertising Agency,Erbil,Sales,Full time,2026-04-08,Not disclosed,https://jobs.krd/explore-jobs/Sales-Specialist-2977,0,-39,1,1,21,0
Graphic Designer,Advira Advertising Agency,Erbil,Marketing,Full time,2026-04-08,Not disclosed,https://jobs.krd/explore-jobs/Graphic-Designer-2978,0,-39,1,1,15,0
Content Creator & Social Media Manager,Abi Academy,Duhok,Marketing,Full time,2026-04-08,Not disclosed,https://jobs.krd/explore-jobs/Social-Media-Admin-2979,0,-39,1,0,15,0
Brand Face,NS Marketing Company,Duhok,Marketing,Full time,2026-04-07,Not disclosed,https://jobs.krd/explore-jobs/Face-Model-2974,0,-40,1,0,15,0
Accountant,MY LIMITED,Erbil,Finance,Part time,2026-04-12,Not disclosed,https://jobs.krd/explore-jobs/Accountant-2966,0,-35,2,1,9,0
Graphic Designer,NS Marketing Company,Duhok,Marketing,Full time,2026-04-07,Not disclosed,https://jobs.krd/explore-jobs/Graphic-Designer-2973,0,-40,1,0,15,0
Social Media & Content Coordinator,MY LIMITED,Erbil,Marketing,Full time,2026-04-12,Not disclosed,https://jobs.krd/explore-jobs/Social-Media-&-Content-Coordinator-2976,0,-35,1,1,15,0
Marketing Coordinator,10 Problem 10 Solutions,Erbil,Marketing,Full time,2026-04-05,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Coordinator-2975,0,-42,1,1,15,0
Accountant,Ashish Pack,Duhok,Finance,Full time,2026-04-06,Not disclosed,https://jobs.krd/explore-jobs/Accountant-2963,0,-41,1,0,9,0
Sales Account Executive,Getty Tech,Erbil,Sales,Full time,2026-04-06,Not disclosed,https://jobs.krd/explore-jobs/Sales-Account-Executive-2972,0,-41,1,1,21,0
